month,outlet_id,name,trading_area,company,class_of_market,lat,lng,ms,hsd,ms_ly,hsd_ly,,,,
2026-06,41006140,KUNDUPUZHAKKAL FUELS,VENGARA,HPCL,D2,11.0512157,75.9884958,120,200,110,170,,,,
2026-06,41012307,KUNNUMPURAM PETROLEUM,KUNNUMPURAM,HPCL,D2,11.081187,75.95081,89,121,85.5,90.5,,,,
2026-06,41012528,L & G PETRO POINT,Changaramkulam,HPCL,D2,10.7327111,76.0440303,74,66,75,65,,,,
2026-06,41075131,L & K FUELS,B.P ANGADI,HPCL,E,10.8866792,75.9305574,60,36,4,0,,,,
2026-06,41028674,M P T Petroleum,PALLIKKAL BAZAR,HPCL,E,11.1522707,75.9177496,78,74,70,70,,,,
2026-06,41074059,MALABAR PETROLEUM,VALIYAPARAMBU,HPCL,E,11.0006541,76.0487356,40,72,61,65,,,,
2026-06,41075058,MAMPURAM FUELS,VK PADI MAMBURAM ROAD,HPCL,E,11.0767651,75.9029706,60,40,0,0,,,,
2026-06,41072515,MATSYAFED FUELS,VAKKAD,HPCL,E,10.8965965,75.8927423,90,56,84,52,,,,
2026-06,41028685,MSHSD CHANGAMPALLY FUELS,THIRUNAVAYA,HPCL,E,10.87099707,75.95968442,78,54,59,39,,,,
2026-06,41011141,MSHSD KOZHIKKAL SONS PETROLEUM,KAKKAD,HPCL,D1,10.99622094,75.96098932,74,58,59,45,,,,
2026-06,41011151,MSHSD RAINBOW PETROLEUM,KURUMBATHUR,HPCL,E,10.89844287,75.99555897,104,74,92,56,,,,
2026-06,41076797,NICE PETROLEUM,Edappal (on MDR),HPCL,E,10.7849653,76.0181996,67,47,0,0,,,,
2026-06,41085178,NILA PETROLEUM,NARIPARAMBA,HPCL,E,,,23,19,0,0,,,,
2026-06,41072566,NMS PETROLEUM,VATTATHANI,HPCL,C,10.9589216,75.8958929,103,83,87,71,,,,
2026-06,41075133,OASIS PETROLEUM,CHETTIPADI TO CHELARI,HPCL,E,11.0798806,75.8583326,29,45,0,0,,,,
2026-06,41030460,OTHUKUNGAL FUELS,OTHUKKUNGAL (ON SH),HPCL,D2,11.0225994,76.0235667,109,125,111,127,,,,
2026-06,41028450,P ACHUTHAN NAIR & CO-KO,KOTTAKKAL (ON NH),HPCL,D1,10.99908,75.99129,0,0,67,167,,,,
2026-06,41026048,P ACHUTHAN NAIR & CO-VA,VALANCHERY-KOPPAM ROAD,HPCL,C,10.8858393,76.0736275,60,94,45,81,,,,
2026-06,41002047,P K AUTO FUELS,KAKKANCHERY,HPCL,D1,11.143891,75.895467,28,28,59,39,,,,
2026-06,41005475,PAZHERI FUELS,KALOTH,HPCL,D2,11.1478335,75.9784852,56,40,52,48,,,,
2026-06,41028388,PC PETROLEUM,KAKKANCHERY,HPCL,D1,11.15615092,75.89105206,66,74,44,64,,,,
2026-06,41028341,PRIMO PETROLEUM,VALLIKUNNU,HPCL,E,11.10483,75.838501,0,0,97,49,,,,
2026-06,41074485,PSM PETROLEUM,CHELARI,HPCL,D1,,,0,0,0,0,,,,
2026-06,41088404,PUTHUPARAMB PETROLEUM,PUTHUPARAMB,HPCL,E,,,53,49,0,0,,,,
2026-06,41030288,RAHINA PETROLEU5,TIRUR,HPCL,C,10.9260204,75.9124693,64,56,88,68,,,,
2026-06,41002023,SEEPEACE FUELS,KONDOTTY,HPCL,D1,11.1423633,75.970181,119,173,126,180,,,,
2026-06,41091544,SMART FUELS,VAKKAD,HPCL,E,,,0,0,0,0,,,,
2026-06,41012299,STAR PETROLEUM,KAKKAD,HPCL,D1,11.0215473,75.9480411,40,32,36,36,,,,
2026-06,41089707,SWADESHI FUELS,THAVANUR,HPCL,D1,,,0,0,0,0,,,,
2026-06,41006143,THEJUS PETROLEUM,CHEMMAD(ON SH65),HPCL,D2,11.043076,75.9050597,108,72,105,77,,,,
2026-06,41028384,THEYYALINGAL PETROLEUM,THEYYALA,HPCL,E,10.9882831,75.9065332,96,72,96,64,,,,
2026-06,41002044,THEYYAMPATTIL PETROLEUM,PUTHANATHANI,HPCL,D1,10.9342565,76.0071006,64,72,39,47,,,,
