month,outlet_id,name,trading_area,company,lat,lng,ms,hsd,ms_ly,hsd_ly
2025-08,41070271,VOYAGE FUELS,KUTTIPURAM (ON NH),HPCL,10.8668424,76.0406967,49,63,0,0
2025-08,41028463, BALAN AND MOHAN,Kuttippuram,HPCL,10.8438062,76.031948,80,88,92,100
2025-08,41011151,MSHSD RAINBOW PETROLEUM,KURUMBATHUR,HPCL,10.89844287,75.99555897,109,82,114,94
2025-08,41012307, KUNNUMPURAM PETROLEUM,KUNNUMPURAM,HPCL,11.081187,75.95081,85,125,72,96
2025-08,41028450, P ACHUTHAN NAIR & CO-KO,KOTTAKKAL (ON NH),HPCL,10.99908,75.99129,67,171,60,172
2025-08,41030308,5 7 PUTHIYAVEETIL AGENCIES,KONDOTTY,HPCL,11.15986,75.946536,0,0,0,0
2025-08,41029341, CP MOHAMED KUTTY,KONDOTTY,HPCL,11.1508858,75.9591193,89,145,91,141
2025-08,41002023, SEEPEACE FUELS,KONDOTTY,HPCL,11.1423633,75.970181,130,210,120,160
2025-08,41012511, KOLAPPURAM PETROLEUM AG,KOLAPPURAM,HPCL,11.0615467,75.9348007,184,224,113,119
2025-08,41005475,PAZHERI FUELS,KALOTH,HPCL,11.1478335,75.9784852,57,53,60,60
2025-08,41002047, P K AUTO FUELS,KAKKANCHERY,HPCL,11.143891,75.895467,73,49,75,65
2025-08,41028388,PC PETROLEUM,KAKKANCHERY,HPCL,11.15615092,75.89105206,50,85,68,76
2025-08,41012299, STAR PETROLEUM,KAKKAD,HPCL,11.0215473,75.9480411,48,48,40,44
2025-08,41011141,MSHSD KOZHIKKAL SONS PETROLEUM,KAKKAD,HPCL,10.99622094,75.96098932,71,55,82,82
2025-08,41028149,GOVINDA AGENCIES,Edappal (on SH),HPCL,10.8110471,76.0101634,133,127,104,88
2025-08,41012278,KUMAR PETROLEUM- NADUVA,Edappal (on SH),HPCL,10.7722207,76.0145387,207,341,178.5,241.5
2025-08,41076797,NICE PETROLEUM,Edappal (on MDR),HPCL,,,4,0,0,0
2025-08,41074486,ABRAJ PETROLEUM,Edappal (on MDR),HPCL,,,4,0,0,0
