month,outlet_id,name,trading_area,company,lat,lng,ms,hsd,ms_ly,hsd_ly
2025-08,41002047, P K AUTO FUELS,KAKKANCHERY,HPCL,,,73,49,75,65
2025-08,41028388,PC PETROLEUM,KAKKANCHERY,HPCL,,,50,85,68,76
2025-08,41012299, STAR PETROLEUM,KAKKAD,HPCL,,,48,48,40,44
2025-08,41011141,MSHSD KOZHIKKAL SONS PETROLEUM,KAKKAD,HPCL,,,71,55,82,82
2025-08,41028149,GOVINDA AGENCIES,Edappal (on SH),HPCL,,,133,127,104,88
2025-08,41012278,KUMAR PETROLEUM- NADUVA,Edappal (on SH),HPCL,,,207,341,178.5,241.5
2025-08,41076797,NICE PETROLEUM,Edappal (on MDR),HPCL,,,4,0,0,0
2025-08,41074486,ABRAJ PETROLEUM,Edappal (on MDR),HPCL,,,4,0,0,0
2025-08,41075133,OASIS PETROLEUM,CHETTIPADI TO CHELARI,HPCL,,,0,0,0,0
2025-08,41006143, THEJUS PETROLEUM CHEMMA,CHEMMAD(ON SH65),HPCL,,,113,83,120,72
2025-08,41075039,TIRURANGADI FUELS ,CHEMMAD,HPCL,,,86,50,0,4
2025-08,41064103,ENERGY PETRO PARK,CHELARI,HPCL,,,88,82,0,0
2025-08,41012528, L & G PETRO POINT,Changaramkulam,HPCL,,,93,89,76,68
2025-08,41075131,L & K FUELS,B.P ANGADI,HPCL,,,50,52,0,0
2025-08,41006921, KPK PETROLEUM,AILATHUR,HPCL,,,83,71,92,88
2025-08,41072529,CK PETROLEUM,AILATHUR,HPCL,,,80,102,0,0
2025-08,41075058,MAMPURAM FUELS, VK PADI MAMBURAM ROAD ,HPCL,,,0,0,0,0
2025-08,41077874,KN FUELS,KOHINOOR,HPCL,,,0,4,0,0
2025-08,369496,ATR PETROLEUM,VETTICHIRA,IOC,10.9286167,76.02627153,98,102,60,60
2025-08,193180,VARADA FUELS,VETTICHIRA,IOC,10.925452,76.030547,48,144,44,112
2025-08,365027,GOLDEN FUELS,VAZHAYUR,IOC,,,17,21,0,0
2025-08,374994,ANANGADI FUELS,VALLIKUNNU,IOC,,,0,0,0,0
2025-08,198669,PAYINGAL PETROLEUM,VALANCHERY-PERINTHALMANNA ROAD TIR RSA,IOC,10.893371,76.074432,48,108,48,96
2025-08,288174,KTJ PETROLEUM,VALANCHERY-KOPPAM ROAD,IOC,10.8811232,76.0864122,152,136,124,104
2025-08,125132,SIGMA ENTERPRISES,Valanchery,IOC,10.897987,76.061268,96,108,108,120
2025-08,289385,CP PETROLEUM,VAKKAD,IOC,10.875418,75.897813,102,98,135.5,112.5
2025-08,366596,M/s ARAFA PETROMART,VAKKAD,IOC,,,0,0,0,0
2025-08,367842,FUELMAX PETROLEUM,VAILATHUR-KARINKAPPARA ROAD,IOC,,,62,58,0,0
2025-08,132413,P.K.FUELS,VAILATHUR,IOC,10.95326,75.949828,48,48,90,90
2025-08,187714,SALEEMA PETROLEUM,TIRUR(ON SH71),IOC,10.93195,75.933382,64,104,72,108
2025-08,289389,KHALOORIKA PETROLEUM,TIRUR (ON EZHUR ROAD),IOC,,,24,24,79,58
2025-08,337736,AMMENGARAS PETROLEUM,TIRUR (ON EZHUR ROAD),IOC,,,54,54,69,57
2025-08,131235,INTERNATIONAL PETROLEUM,TIRUR,IOC,10.926949,75.911624,18,26,79,73
2025-08,373070,TIRUR PETROLEUM,TIRUR,IOC,,,106,78,0,0
2025-08,187723,KIRAN PETROLEUM,THIRUNAVAYA,IOC,10.863214,75.974678,78,94,83,105
2025-08,330792,A K PETROLEUM,THEYYALA,IOC,10.991809,75.914709,32,40,56,56
